Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Travel_Rarely,Sales,1,Associates,1,2,Female,94,3,Sales Executive,4,Single,5993,Yes,11,8,6,4,0
49,No,Travel_Frequently,Research & Development,8,High School,2,3,Male,61,2,Research Scientist,2,Married,5130,No,23,10,10,7,1
37,Yes,Travel_Rarely,Research & Development,2,Associates,4,4,Male,92,2,Laboratory Technician,3,Single,2090,Yes,15,7,0,0,0
33,No,Travel_Frequently,Research & Development,3,Masters,5,4,Female,56,3,Research Scientist,3,Married,2909,Yes,11,8,8,7,3
27,No,Travel_Rarely,Research & Development,2,High School,7,1,Male,40,3,Laboratory Technician,2,Married,3468,No,12,6,2,2,2
32,No,Travel_Frequently,Research & Development,2,Associates,8,4,Male,79,3,Laboratory Technician,4,Single,3068,No,13,8,7,7,3
59,No,Travel_Rarely,Research & Development,3,Bachelors,10,3,Female,81,4,Laboratory Technician,1,Married,2670,Yes,20,12,1,0,0
30,No,Travel_Rarely,Research & Development,24,High School,11,4,Male,67,3,Laboratory Technician,3,Divorced,2693,No,22,1,1,0,0
38,No,Travel_Frequently,Research & Development,23,Bachelors,12,4,Male,44,2,Manufacturing Director,3,Single,9526,No,21,10,9,7,1
36,No,Travel_Rarely,Research & Development,27,Bachelors,13,3,Male,94,3,Healthcare Representative,3,Married,5237,No,13,17,7,7,7
35,No,Travel_Rarely,Research & Development,16,Bachelors,14,1,Male,84,4,Laboratory Technician,2,Married,2426,No,13,6,5,4,0
29,No,Travel_Rarely,Research & Development,15,Associates,15,4,Female,49,2,Laboratory Technician,3,Single,4193,Yes,12,10,9,5,0
31,No,Travel_Rarely,Research & Development,26,High School,16,1,Male,31,3,Research Scientist,3,Divorced,2911,No,17,5,5,2,4
34,No,Travel_Rarely,Research & Development,19,Associates,18,2,Male,93,3,Laboratory Technician,4,Divorced,2661,No,11,3,2,2,1
28,Yes,Travel_Rarely,Research & Development,24,Bachelors,19,3,Male,50,2,Laboratory Technician,3,Single,2028,Yes,14,6,4,2,0
29,No,Travel_Rarely,Research & Development,21,Masters,20,2,Female,51,4,Manufacturing Director,1,Divorced,9980,No,11,10,10,9,8
32,No,Travel_Rarely,Research & Development,5,Associates,21,1,Male,80,4,Research Scientist,2,Divorced,3298,Yes,12,7,6,2,0
22,No,Non-Travel,Research & Development,16,Associates,22,4,Male,96,4,Laboratory Technician,4,Divorced,2935,Yes,13,1,1,0,0
53,No,Travel_Rarely,Sales,2,Masters,23,1,Female,78,2,Manager,4,Married,15427,No,16,31,25,8,3
38,No,Travel_Rarely,Research & Development,2,Bachelors,24,4,Male,45,3,Research Scientist,4,Single,3944,Yes,11,6,3,2,1
24,No,Non-Travel,Research & Development,11,Associates,26,1,Female,96,4,Manufacturing Director,3,Divorced,4011,No,18,5,4,2,1
36,Yes,Travel_Rarely,Sales,9,Masters,27,3,Male,82,2,Sales Representative,1,Single,3407,No,23,10,5,3,0
34,No,Travel_Rarely,Research & Development,7,Masters,28,1,Female,53,3,Research Director,2,Single,11994,No,11,13,12,6,2
21,No,Travel_Rarely,Research & Development,15,Associates,30,3,Male,96,3,Research Scientist,4,Single,1232,No,14,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,High School,31,2,Male,83,3,Research Scientist,1,Single,2960,No,11,8,4,2,1
53,No,Travel_Rarely,Research & Development,5,Bachelors,32,3,Female,58,3,Manager,3,Divorced,19094,No,11,26,14,13,4
32,Yes,Travel_Frequently,Research & Development,16,High School,33,2,Female,72,1,Research Scientist,1,Single,3919,Yes,22,10,10,2,6
42,No,Travel_Rarely,Sales,8,Masters,35,3,Male,48,3,Sales Executive,2,Married,6825,No,11,10,9,7,4
44,No,Travel_Rarely,Research & Development,7,Masters,36,1,Female,42,2,Healthcare Representative,4,Married,10248,No,14,24,22,6,5
46,No,Travel_Rarely,Sales,2,Masters,38,2,Female,83,3,Manager,1,Single,18947,No,12,22,2,2,2
33,No,Travel_Rarely,Research & Development,2,Bachelors,39,3,Male,78,3,Laboratory Technician,4,Single,2496,No,11,7,1,1,0
44,No,Travel_Rarely,Research & Development,10,Masters,40,4,Male,41,3,Healthcare Representative,4,Married,6465,Yes,13,9,4,2,1
30,No,Travel_Rarely,Research & Development,9,Associates,41,4,Male,83,2,Laboratory Technician,3,Single,2206,No,13,10,10,0,1
39,Yes,Travel_Rarely,Sales,5,Bachelors,42,4,Male,56,3,Sales Representative,4,Married,2086,No,14,19,1,0,0
24,Yes,Travel_Rarely,Research & Development,1,Bachelors,45,2,Male,61,3,Research Scientist,4,Married,2293,Yes,16,6,2,0,2
43,No,Travel_Rarely,Research & Development,2,Associates,46,4,Female,72,4,Research Scientist,3,Divorced,2645,No,12,6,5,3,1
50,Yes,Travel_Rarely,Sales,3,Associates,47,1,Male,86,2,Sales Representative,3,Married,2683,Yes,14,3,3,2,0
35,No,Travel_Rarely,Sales,2,Bachelors,49,4,Female,97,3,Sales Representative,4,Married,2014,No,13,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,Masters,51,2,Female,82,2,Research Scientist,1,Married,3419,Yes,14,6,1,1,0
33,No,Travel_Frequently,Sales,1,Bachelors,52,3,Female,42,4,Sales Executive,1,Married,5376,No,19,10,5,3,1
35,No,Travel_Rarely,Research & Development,4,Associates,53,3,Male,75,3,Laboratory Technician,4,Divorced,1951,No,12,1,1,0,0
27,No,Travel_Rarely,Research & Development,2,Masters,54,4,Female,33,3,Laboratory Technician,1,Divorced,2341,No,13,1,1,0,0
26,Yes,Travel_Rarely,Research & Development,25,Bachelors,55,1,Male,48,1,Laboratory Technician,3,Single,2293,No,12,1,1,0,0
27,No,Travel_Frequently,Sales,8,Bachelors,56,4,Male,37,3,Sales Executive,3,Single,8726,No,15,9,9,8,1
30,No,Travel_Frequently,Research & Development,1,Associates,57,3,Female,58,3,Laboratory Technician,4,Single,4011,No,23,12,12,8,3
41,Yes,Travel_Rarely,Research & Development,12,Bachelors,58,2,Female,49,3,Research Director,3,Married,19545,No,12,23,22,15,15
34,No,Non-Travel,Sales,23,Masters,60,2,Male,72,3,Sales Executive,3,Single,4568,No,20,10,9,5,8
37,No,Travel_Rarely,Research & Development,19,Associates,61,2,Male,73,3,Research Scientist,2,Married,3022,No,21,8,1,0,0
46,No,Travel_Frequently,Sales,5,Masters,62,1,Male,98,3,Sales Executive,4,Single,5772,Yes,21,14,9,6,0
35,No,Travel_Rarely,Research & Development,8,High School,63,4,Male,36,4,Laboratory Technician,4,Married,2269,No,19,1,1,0,0
48,Yes,Travel_Rarely,Research & Development,1,Associates,64,1,Male,98,2,Laboratory Technician,3,Single,5381,Yes,13,23,1,0,0
